Image,ID,Length,Name,Description,,
,CID_001_Athena_Commando_F_Default,33,Recruit,Standard issue combatant outfit. ,,
,CID_001_Mole_M_DefaultA,23,Jonesy,,,
,CID_002_Athena_Commando_F_Default,33,Recruit,Standard issue combatant outfit. ,,
,CID_003_Athena_Commando_F_Default,33,Recruit,Standard issue combatant outfit. ,,
,CID_004_Athena_Commando_F_Default,33,Recruit,Standard issue combatant outfit. ,,
,CID_005_Athena_Commando_M_Default,33,Recruit,Standard issue combatant outfit. ,,
,CID_006_Athena_Commando_M_Default,33,Recruit,Standard issue combatant outfit. ,,
,CID_007_Athena_Commando_M_Default,33,Recruit,Standard issue combatant outfit. ,,
,CID_008_Athena_Commando_M_Default,33,Recruit,Standard issue combatant outfit. ,,
,CID_009_Athena_Commando_M,25,Tracker,Uncommon tracker outfit. ,,
,CID_010_Athena_Commando_M,25,Ranger,Uncommon ranger outfit. ,,
,CID_011_Athena_Commando_M,25,Scout,Uncommon scout outfit. ,,
,CID_012_Athena_Commando_M,25,Trooper,Uncommon trooper outfit. ,,
,CID_013_Athena_Commando_F,25,Renegade,Uncommon renegade outfit. ,,
,CID_014_Athena_Commando_F,25,Pathfinder ,Uncommon pathfinder outfit. ,,
,CID_015_Athena_Commando_F,25,Assault Trooper,Uncommon assault trooper outfit. ,,
,CID_016_Athena_Commando_F,25,Commando ,Uncommon commando outfit. ,,
,CID_017_Athena_Commando_M,25,Aerial Assault Trooper,Rare aerial assault trooper outfit.,,
,CID_018_Athena_Commando_M,25,Recon Scout,Rare recon scout outfit. ,,
,CID_019_Athena_Commando_M,25,Infiltrator,Rare infiltrator outfit. ,,
,CID_020_Athena_Commando_M,25,Special Forces,Rare special forces outfit. ,,
,CID_021_Athena_Commando_F,25,Brawler,Rare brawler outfit. ,,
,CID_022_Athena_Commando_F,25,Recon Expert,Rare recon expert outfit. ,,
,CID_023_Athena_Commando_F,25,Munitions Expert,Rare munitions expert outfit. ,,
,CID_024_Athena_Commando_F,25,Recon Specialist,Rare recon specialist outfit. ,,
,CID_025_Athena_Commando_M,25,First strike Specialist,Rare first strike specialist outfit. ,,
,CID_026_Athena_Commando_M,25,Desperado,Rare desperado outfit. ,,
,CID_027_Athena_Commando_F,25,Survival Specialist,Rare Survival Specialist outfit. ,,
,CID_028_Athena_Commando_F,25,Renegade Raider,Rare renegade raider outfit.,,
,CID_029_Athena_Commando_F_Halloween,35,Ghoul Trooper,Epic ghoul trooper outfit. ,,
,CID_030_Athena_Commando_M_Halloween,35,Skull Trooper ,Victory runs bone-deep.,,
,CID_031_Athena_Commando_M_Retro,31,Raptor,Royale Air Force test pilot.,,
,CID_032_Athena_Commando_M_Medieval,34,Blue Squire,The bold warrior of Moisty Mire.,,
,CID_033_Athena_Commando_F_Medieval,34,Royale Knight,The dauntless champion of Tomato Town.,,
,CID_034_Athena_Commando_F_Medieval,34,Red Knight,The red menace of Anarchy Acres.,,
,CID_035_Athena_Commando_M_Medieval,34,Black Knight,The odious scourge of Wailing Woods.,,
,CID_036_Athena_Commando_M_WinterCamo,36,Absolute Zero,Freeze out the competition.,,
,CID_037_Athena_Commando_F_WinterCamo,36,Arctic Assassin,Stay frosty.,,
,CID_038_Athena_Commando_M_Disco,31,Funk Ops,Boogie on down to umbrella town.,,
,CID_039_Athena_Commando_F_Disco,31,Sparkle Specialist,It's time to shine!,,
,CID_040_Athena_Commando_M_District,34,Devastator,Dominate the eye of the storm.,,
,CID_041_Athena_Commando_F_District,34,Dominator,One step ahead of the pack.,,
,CID_042_Athena_Commando_M_Cyberpunk,35,Circuit Breaker,The deadliest keyboard cowboy in the west.,,
,CID_043_Athena_Commando_F_Stealth,33,Shadow Ops,You didn't see a thing.,,
,CID_044_Athena_Commando_F_SciPop,32,Brite Bomber,The future looks bright...,,
,CID_045_Athena_Commando_M_HolidaySweater,40,Yuletide Ranger,Up on the rooftop...,,
,CID_046_Athena_Commando_F_HolidaySweater,40,Nog Ops,Have yourself a merry little skirmish.,,
,CID_047_Athena_Commando_F_HolidayReindeer,41,Red-Nosed Raider,It's time for some reindeer games.,,
,CID_048_Athena_Commando_F_HolidayGingerbread,44,Ginger Gunner,Spread some holiday fear.,,
,CID_049_Athena_Commando_M_HolidayGingerbread,44,Merry Marauder,Sing a slaying song tonight.,,
,CID_050_Athena_Commando_M_HolidayNutcracker,43,Crackshot,Get out there and... crack some nuts.,,
,CID_051_Athena_Commando_M_HolidayElf,36,Codename E.L.F.,Elusive. Lethal. Festive.,,
,CID_052_Athena_Commando_F_PSBlue,32,Blue Team Leader,Lead your squad to victory.,,
,CID_053_Athena_Commando_M_SkiDude,33,Alpine Ace,So Aerodynamic!,,
,CID_054_Athena_Commando_M_SkiDude_USA,37,Alpine Ace (USA),So Aerodynamic!,,
,CID_055_Athena_Commando_M_SkiDude_CAN,37,Alpine Ace (CAN),So Aerodynamic!,,
,CID_056_Athena_Commando_M_SkiDude_GBR,37,Alpine Ace (GBR),So Aerodynamic!,,
,CID_057_Athena_Commando_M_SkiDude_FRA,37,Alpine Ace (FRA),So Aerodynamic!,,
